36.000000 12.000000 36.000000 27.000000
36.000000 12.000000 51.000000 12.000000
36.000000 27.000000 51.000000 27.000000
51.000000 12.000000 51.000000 18.000000
51.000000 27.000000 51.000000 21.000000
51.000000 18.000000 56.000000 18.000000
56.000000 18.000000 59.000000 15.000000
59.000000 15.000000 62.000000 18.000000
51.000000 21.000000 56.000000 21.000000
56.000000 21.000000 59.000000 24.000000
59.000000 24.000000 62.000000 21.000000
62.000000 21.000000 67.000000 21.000000
62.000000 18.000000 67.000000 18.000000
